id;user_id;citizen_identity_no;full_name;phone_no;disable
1;102190456;structure RSS deposit1;SMTP Awesome JSON;Developer1;false
2;102190457;structure RSS deposit2;Cambridgeshire invoice;Developer2;true
3;102190458;structure RSS deposit3;Movies Louisiana Sweden;Developer3;true
4;102190459;structure RSS deposit4;Buckinghamshire;Developer4;true
5;102190460;structure RSS deposit5;infomediaries Togo green;Developer5;false
6;102190461;structure RSS deposit6;platforms;Developer6;true
7;102190462;structure RSS deposit7;Health;Developer7;true
8;102190463;structure RSS deposit8;Internal Customer Division;Developer8;true
9;102190464;structure RSS deposit9;Plaza Gateway;Developer9;true
10;102190465;structure RSS deposit10;Account PCI Bedfordshire;Developer10;true
11;102190069;structure RSS deposit11;Account PCI Bedfordshire;Developer11;false
12;102190070;structure RSS deposit12;Account PCI Bedfordshire;Developer12;false
13;102190071;structure RSS deposit13;Account PCI Bedfordshire;Developer13;false
14;102190072;structure RSS deposit14;Account PCI Bedfordshire;Developer14;false
15;102190073;structure RSS deposit15;Account PCI Bedfordshire;Developer15;false
16;102190074;structure RSS deposit16;Account PCI Bedfordshire;Developer16;false
17;102190075;structure RSS deposit17;Account PCI Bedfordshire;Developer17;false
18;102190076;structure RSS deposit18;Account PCI Bedfordshire;Developer18;false
19;102190077;structure RSS deposit19;Account PCI Bedfordshire;Developer19;false
20;102190078;structure RSS deposit20;Account PCI Bedfordshire;Developer20;false
21;102190079;structure RSS deposit21;Account PCI Bedfordshire;Developer21;false
22;102190080;structure RSS deposit22;Account PCI Bedfordshire;Developer22;false
23;102190081;structure RSS deposit23;Account PCI Bedfordshire;Developer23;false
24;102190082;structure RSS deposit24;Account PCI Bedfordshire;Developer24;false
25;102190083;structure RSS deposit25;Account PCI Bedfordshire;Developer25;false
26;102190084;structure RSS deposit26;Account PCI Bedfordshire;Developer26;false
27;102190085;structure RSS deposit27;Account PCI Bedfordshire;Developer27;false
28;102190086;structure RSS deposit28;Account PCI Bedfordshire;Developer28;false
29;102190087;structure RSS deposit29;Account PCI Bedfordshire;Developer29;false
30;102190088;structure RSS deposit30;Account PCI Bedfordshire;Developer30;false
31;102190089;structure RSS deposit31;Account PCI Bedfordshire;Developer31;false
